t_ns,core,freq_khz
1785960956677027685,4,3751856
1785960956677027685,5,3713486
1785960956677027685,6,2417590
1785960956677027685,7,1727822
1785960956777410197,0,3599204
1785960956777410197,1,3599088
1785960956777410197,2,3362704
1785960956777410197,3,3695539
1785960956777410197,4,3599233
1785960956777410197,5,3607561
1785960956777410197,6,768783
1785960956777410197,7,605376
1785960956877821830,0,3600036
1785960956877821830,1,3600000
1785960956877821830,2,3543292
1785960956877821830,3,3600000
1785960956877821830,4,3600172
1785960956877821830,5,3599865
1785960956877821830,6,3477985
1785960956877821830,7,3600000
1785960956978246244,0,3700000
1785960956978246244,1,3700000
1785960956978246244,2,991569
1785960956978246244,3,1718958
1785960956978246244,4,3686346
1785960956978246244,5,3700223
1785960956978246244,6,3525489
1785960956978246244,7,3323548
1785960957078588926,0,3600000
1785960957078588926,1,3600000
1785960957078588926,2,1906252
1785960957078588926,3,2357897
1785960957078588926,4,3600000
1785960957078588926,5,3599833
1785960957078588926,6,3657134
1785960957078588926,7,3311750
1785960957178951819,0,3600000
1785960957178951819,1,3600000
1785960957178951819,2,3600152
1785960957178951819,3,3600000
1785960957178951819,4,3600000
1785960957178951819,5,3600000
1785960957178951819,6,3600000
1785960957178951819,7,3600000
1785960957279304369,0,3699962
1785960957279304369,1,3699962
1785960957279304369,2,1535303
1785960957279304369,3,3700000
1785960957279304369,4,3700037
1785960957279304369,5,3700000
1785960957279304369,6,1696764
1785960957279304369,7,3040784
1785960957379634332,0,3600000
1785960957379634332,1,3600000
1785960957379634332,2,532406
1785960957379634332,3,549390
1785960957379634332,4,3600000
1785960957379634332,5,3600000
1785960957379634332,6,399817
1785960957379634332,7,578542
1785960957480076175,0,3648396
1785960957480076175,1,3688826
1785960957480076175,2,2215837
1785960957480076175,3,3682459
1785960957480076175,4,3696563
1785960957480076175,5,3658079
1785960957480076175,6,3057602
1785960957480076175,7,3688836
1785960957580405322,0,3700000
1785960957580405322,1,3700000
1785960957580405322,2,2986759
1785960957580405322,3,399492
1785960957580405322,4,3599963
1785960957580405322,5,3696492
1785960957580405322,6,904081
1785960957580405322,7,1230085
1785960957680825097,0,3700037
1785960957680825097,1,3700000
1785960957680825097,2,2913265
1785960957680825097,3,3213915
1785960957680825097,4,3700091
1785960957680825097,5,3699560
1785960957680825097,6,2809198
1785960957680825097,7,3643501
1785960957781189979,0,3304987
1785960957781189979,1,3305147
1785960957781189979,2,3300536
1785960957781189979,3,3300693
1785960957781189979,4,3400000
1785960957781189979,5,3400000
1785960957781189979,6,3296301
1785960957781189979,7,3400000
1785960957881561014,0,3700037
1785960957881561014,1,3700000
1785960957881561014,2,400000
1785960957881561014,3,2388193
1785960957881561014,4,3704307
1785960957881561014,5,3702683
1785960957881561014,6,3666246
1785960957881561014,7,3636480
1785960957981983977,0,3643886
1785960957981983977,1,3643750
1785960957981983977,2,2300023
1785960957981983977,3,3384957
1785960957981983977,4,3637500
1785960957981983977,5,3614791
1785960957981983977,6,2300000
1785960957981983977,7,3013690
1785960958082410742,0,3699962
1785960958082410742,1,3700000
1785960958082410742,2,2375735
1785960958082410742,3,2356007
1785960958082410742,4,3706166
1785960958082410742,5,3700000
1785960958082410742,6,2155566
1785960958082410742,7,890701
1785960958182772800,0,3746135
1785960958182772800,1,3746035
1785960958182772800,2,1410250
1785960958182772800,3,3745938
1785960958182772800,4,3781526
1785960958182772800,5,3787377
1785960958182772800,6,805677
1785960958182772800,7,3785214
1785960958283224299,0,3500000
1785960958283224299,1,3500000
1785960958283224299,2,1333415
1785960958283224299,3,2268276
1785960958283224299,4,3502008
1785960958283224299,5,3500183
1785960958283224299,6,3500000
1785960958283224299,7,3413901
1785960958383580284,0,3399965
1785960958383580284,1,3399965
1785960958383580284,2,3399715
1785960958383580284,3,3099657
1785960958383580284,4,3400000
1785960958383580284,5,3400000
1785960958383580284,6,3400000
1785960958383580284,7,3280245
1785960958484048644,0,3600000
1785960958484048644,1,3600000
1785960958484048644,2,3600000
1785960958484048644,3,1057235
1785960958484048644,4,3599722
1785960958484048644,5,3599720
1785960958484048644,6,3600000
1785960958484048644,7,2068851
1785960958584411203,0,3515564
1785960958584411203,1,3515657
1785960958584411203,2,3153933
1785960958584411203,3,3515739
1785960958584411203,4,3501155
1785960958584411203,5,3502721
1785960958584411203,6,3194465
1785960958584411203,7,3502364
1785960958684848612,0,3799961
1785960958684848612,1,3800000
1785960958684848612,2,463504
1785960958684848612,3,497650
1785960958684848612,4,3800000
1785960958684848612,5,3800000
1785960958684848612,6,467820
1785960958684848612,7,395291
1785960958785273225,0,3400000
1785960958785273225,1,3400000
1785960958785273225,2,703677
1785960958785273225,3,721296
1785960958785273225,4,3400000
1785960958785273225,5,3400226
1785960958785273225,6,2631555
1785960958785273225,7,399265
1785960958885721961,0,3699962
1785960958885721961,1,3700000
1785960958885721961,2,2632523
1785960958885721961,3,3005052
1785960958885721961,4,3700000
1785960958885721961,5,3700276
1785960958885721961,6,3562072
1785960958885721961,7,3530093
1785960958986133813,0,3600000
1785960958986133813,1,3600035
1785960958986133813,2,3506998
1785960958986133813,3,3600147
1785960958986133813,4,3600000
1785960958986133813,5,3600072
1785960958986133813,6,3518217
1785960958986133813,7,3600000
1785960959086581407,0,3700037
1785960959086581407,1,3700000
1785960959086581407,2,3333060
1785960959086581407,3,3281346
1785960959086581407,4,3700000
1785960959086581407,5,3700189
1785960959086581407,6,3496883
1785960959086581407,7,3484272
1785960959187001122,0,3800000
1785960959187001122,1,3800038
1785960959187001122,2,2701405
1785960959187001122,3,2791161
1785960959187001122,4,3805248
1785960959187001122,5,3800507
1785960959187001122,6,3717401
1785960959187001122,7,2818579
1785960959287406127,0,3699962
1785960959287406127,1,3700037
1785960959287406127,2,3700000
1785960959287406127,3,3700000
1785960959287406127,4,3599571
1785960959287406127,5,3700000
1785960959287406127,6,3699962
1785960959287406127,7,3700000
1785960959387867806,0,3700000
1785960959387867806,1,3700000
1785960959387867806,2,1500211
1785960959387867806,3,1800514
1785960959387867806,4,3700000
1785960959387867806,5,3699957
1785960959387867806,6,2223200
1785960959387867806,7,3288053
1785960959488290247,0,3600036
1785960959488290247,1,3599963
1785960959488290247,2,3600000
1785960959488290247,3,3462546
1785960959488290247,4,3600000
1785960959488290247,5,3600000
1785960959488290247,6,3600000
1785960959488290247,7,2717643
1785960959588660995,0,3200000
1785960959588660995,1,3200000
1785960959588660995,2,3200000
1785960959588660995,3,3200000
1785960959588660995,4,3200000
1785960959588660995,5,3200000
1785960959588660995,6,3200000
1785960959588660995,7,3200000
1785960959689039143,0,3599963
1785960959689039143,1,3600000
1785960959689039143,2,1920211
1785960959689039143,3,2488595
1785960959689039143,4,3600000
1785960959689039143,5,3631545
1785960959689039143,6,2478298
1785960959689039143,7,2522279
1785960959789366578,0,3649320
1785960959789366578,1,3649242
1785960959789366578,2,400595
1785960959789366578,3,679802
1785960959789366578,4,3674044
1785960959789366578,5,3700000
1785960959789366578,6,2908883
1785960959789366578,7,1978266
1785960959889682998,0,3699962
1785960959889682998,1,3700036
1785960959889682998,2,3473360
1785960959889682998,3,3700256
1785960959889682998,4,3699669
1785960959889682998,5,3700000
1785960959889682998,6,3700037
1785960959889682998,7,3700000
1785960959990034572,0,3599963
1785960959990034572,1,3600036
1785960959990034572,2,3223192
1785960959990034572,3,3600000
1785960959990034572,4,3599512
1785960959990034572,5,3599632
1785960959990034572,6,3206384
1785960959990034572,7,3058595
1785960960090391107,0,3700000
1785960960090391107,1,3700000
1785960960090391107,2,3364010
1785960960090391107,3,604690
1785960960090391107,4,3706571
1785960960090391107,5,3700000
1785960960090391107,6,399623
1785960960090391107,7,954227
1785960960190713006,0,3500035
1785960960190713006,1,3500000
1785960960190713006,2,3500000
1785960960190713006,3,3500000
1785960960190713006,4,3500000
1785960960190713006,5,3500000
1785960960190713006,6,3500035
1785960960190713006,7,3500405
1785960960291184825,0,3600000
1785960960291184825,1,3600000
1785960960291184825,2,804750
1785960960291184825,3,2889557
1785960960291184825,4,3600000
1785960960291184825,5,3599888
1785960960291184825,6,2801774
1785960960291184825,7,2761512
1785960960391579550,0,3700037
1785960960391579550,1,3700037
1785960960391579550,2,3699588
1785960960391579550,3,3366903
1785960960391579550,4,3700000
1785960960391579550,5,3700000
1785960960391579550,6,1712998
1785960960391579550,7,3004741
1785960960491913891,0,3700037
1785960960491913891,1,3699962
1785960960491913891,2,1330223
1785960960491913891,3,1717905
1785960960491913891,4,3700000
1785960960491913891,5,3699778
1785960960491913891,6,3654605
1785960960491913891,7,931022
1785960960592239181,0,3700000
1785960960592239181,1,3700000
1785960960592239181,2,908814
1785960960592239181,3,460267
1785960960592239181,4,3700000
1785960960592239181,5,3654849
1785960960592239181,6,1861712
1785960960592239181,7,2896071
1785960960692533810,0,3600036
1785960960692533810,1,3600000
1785960960692533810,2,3600000
1785960960692533810,3,3599957
1785960960692533810,4,3600000
1785960960692533810,5,3599938
1785960960692533810,6,3599956
1785960960692533810,7,3600000
1785960960792968876,0,3500000
1785960960792968876,1,3500000
1785960960792968876,2,2097467
1785960960792968876,3,2968433
1785960960792968876,4,3500000
1785960960792968876,5,3499805
1785960960792968876,6,2518627
1785960960792968876,7,2876739
1785960960893290239,0,3500000
1785960960893290239,1,3499964
1785960960893290239,2,3100735
1785960960893290239,3,3038546
1785960960893290239,4,3499801
1785960960893290239,5,3499783
1785960960893290239,6,2692369
1785960960893290239,7,3184302
1785960960993644308,0,3799961
1785960960993644308,1,3800000
1785960960993644308,2,3630102
1785960960993644308,3,3571954
1785960960993644308,4,3800000
1785960960993644308,5,3800000
1785960960993644308,6,3701994
1785960960993644308,7,3644291
1785960961093973803,0,3599963
1785960961093973803,1,3600000
1785960961093973803,2,1430975
1785960961093973803,3,1339744
1785960961093973803,4,3557791
